id,fy,state_name,district_name,total_dbt_transfer,no_of_dbt_transactions,start_year,end_year,transfer_per_transaction
0,2019-2020,Jammu And Kashmir,Anantnag,203800000,720115,2019,2020,283.0103525131403
1,2019-2020,Jammu And Kashmir,Budgam,54600000,204443,2019,2020,267.06710427845417
2,2019-2020,Jammu And Kashmir,Baramulla,246800000,911993,2019,2020,270.6161121850716
3,2019-2020,Jammu And Kashmir,Doda,53800000,243799,2019,2020,220.67358766853022
4,2019-2020,Jammu And Kashmir,Jammu,442000000,2277901,2019,2020,194.03828348993218
5,2019-2020,Jammu And Kashmir,Kathua,107200000,544970,2019,2020,196.7080756738903
6,2019-2020,Jammu And Kashmir,Kupwara,166800000,607196,2019,2020,274.70536696552676
7,2019-2020,Jammu And Kashmir,Poonch,71800000,342697,2019,2020,209.51452741051133
8,2019-2020,Jammu And Kashmir,Pulwama,106100000,398791,2019,2020,266.05414866433796
9,2019-2020,Jammu And Kashmir,Rajouri,109100000,513634,2019,2020,212.4080570990238
10,2019-2020,Jammu And Kashmir,Srinagar,445600000,1674787,2019,2020,266.0636845162997
11,2019-2020,Jammu And Kashmir,Udhampur,99900000,479486,2019,2020,208.3481060969455
12,2019-2020,Jammu And Kashmir,Kishtwar,21300000,104618,2019,2020,203.59785123018983
13,2019-2020,Jammu And Kashmir,Ramban,16100000,75861,2019,2020,212.23026324461844
14,2019-2020,Jammu And Kashmir,Kulgam,89400000,323052,2019,2020,276.73563389175735
15,2019-2020,Jammu And Kashmir,Bandipora,91100000,320369,2019,2020,284.3595978387422
16,2019-2020,Jammu And Kashmir,Samba,104700000,544661,2019,2020,192.22966212010775
17,2019-2020,Jammu And Kashmir,Shopian,56900000,202884,2019,2020,280.4558269750202
18,2019-2020,Jammu And Kashmir,Ganderbal,24200000,88604,2019,2020,273.1253668005959
19,2019-2020,Jammu And Kashmir,Reasi,16300000,81262,2019,2020,200.5857596416529
20,2019-2020,Himachal Pradesh,Bilaspur,79200000,441959,2019,2020,179.20214318522758
21,2019-2020,Himachal Pradesh,Chamba,71700000,367247,2019,2020,195.236448493793
22,2019-2020,Himachal Pradesh,Hamirpur,110300000,576491,2019,2020,191.3299600514145
23,2019-2020,Himachal Pradesh,Kangra,397300000,2052278,2019,2020,193.58975733307085
24,2019-2020,Himachal Pradesh,Kinnaur,15700000,92995,2019,2020,168.82628098284854
25,2019-2020,Himachal Pradesh,Kullu,207900000,1079373,2019,2020,192.6118218632484
26,2019-2020,Himachal Pradesh,Lahul And Spiti,3900000,32954,2019,2020,118.3467864295685
27,2019-2020,Himachal Pradesh,Mandi,212400000,1115890,2019,2020,190.3413418885374
28,2019-2020,Himachal Pradesh,Shimla,228100000,1228733,2019,2020,185.63837709250097
29,2019-2020,Himachal Pradesh,Sirmaur,98600000,530186,2019,2020,185.97247003881657
30,2019-2020,Himachal Pradesh,Solan,171900000,979020,2019,2020,175.58374701231844
31,2019-2020,Himachal Pradesh,Una,139900000,756029,2019,2020,185.04581173473505
32,2019-2020,Punjab,Amritsar,821800000,4551951,2019,2020,180.5379715203437
33,2019-2020,Punjab,Bathinda,501300000,2792919,2019,2020,179.4896307411708
34,2019-2020,Punjab,Faridkot,204800000,1157427,2019,2020,176.94420468850302
35,2019-2020,Punjab,Fatehgarh Sahib,178600000,1057945,2019,2020,168.81784969918095
36,2019-2020,Punjab,Firozepur,269700000,1480449,2019,2020,182.17446193688536
37,2019-2020,Punjab,Gurdaspur,552100000,3006391,2019,2020,183.64211441559
38,2019-2020,Punjab,Hoshiarpur,503300000,2812852,2019,2020,178.9287171881066
39,2019-2020,Punjab,Jalandhar,794200000,4508904,2019,2020,176.14036581838957
40,2019-2020,Punjab,Kapurthala,314300000,1775593,2019,2020,177.0112858070515
41,2019-2020,Punjab,Ludhiana,1567200000,9078233,2019,2020,172.63271387724902
42,2019-2020,Punjab,Mansa,232700000,1307352,2019,2020,177.99337898286
43,2019-2020,Punjab,Moga,320300000,1752415,2019,2020,182.77634007926204
44,2019-2020,Punjab,Sri Muktsar Sahib,306400000,1735780,2019,2020,176.5200659069698
45,2019-2020,Punjab,Shahid Bhagat Singh Nagar,169500000,947910,2019,2020,178.81444440927936
